2021-07-15 15:27:02::並未將物件參考設定為物件的執行個體。

2021-07-15 15:27:02::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-07-15 15:27:02::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-07-15 15:27:02::並未將物件參考設定為物件的執行個體。

2021-07-15 15:27:02::並未將物件參考設定為物件的執行個體。

2021-07-15 18:34:59::並未將物件參考設定為物件的執行個體。

2021-07-15 18:34:59::已經開啟一個與這個 Command 相關的 DataReader，必須先將它關閉。
2021-07-15 21:08:53::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:54::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:54::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:54::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:54::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:55::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:56::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:08:56::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:02::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:02::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:02::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:02::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:06::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:06::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:10::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:10::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:11::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:11::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:12::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:12::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:18::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:18::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:21::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:21::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:37::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:37::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:38::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:38::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:39::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:39::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:48::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:48::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:49::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:49::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 21:09:50::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

