2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:40::SqlDbType 的列舉值 0 無效。
參數名稱: SqlDbType

2019-08-26 15:18:24::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:18:24::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:18:28::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:18:31::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:18:41::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:18:47::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:20:19::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:21:42::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:21:43::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:06::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:08::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:13::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:13::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:13::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:17::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:33::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:35::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:45::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:45::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:46::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:46::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:46::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:46::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:47::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:53::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:54::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:23:55::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:08::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:24:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

